"Group","ABCA1","ACTA2","AOC2","CD247","CLDN9","CYSLTR1","DLG3","DOCK5","EPHB2","FCAR","FEZ1","FHL1","FLNA","GLIPR1","GMFB","GRB10","HPD","ITPKC","KANK3","KAZN","KYNU","LONRF1","LTBP4","LY96","LYST","MGLL","MLC1","NCAM1","NKTR","PELP1","PRUNE2","PTGS1","SCARB2","SMPDL3A","SNX13","SPTB","SRSF7","ST6GALNAC2","TAP2","TGFBR3","TNFAIP6","TTC38","VCAN","VNN1","WASHC4","ZDHHC17"
0," 3.502685"," 3.465244"," 4.479601","11.524373"," 5.897756"," 3.382664"," 5.626297"," 2.751694"," 6.598843"," 4.603715"," 6.941246"," 6.927523","10.378150","11.106317"," 8.692233"," 3.876980"," 4.343726"," 5.997371"," 4.844431"," 3.997549"," 9.443312"," 6.963666"," 6.172005","10.499453"," 5.775992"," 7.652923"," 6.832850"," 4.299725"," 7.683471"," 6.486528"," 3.071872"," 7.665418"," 4.809286"," 8.234314"," 7.723173"," 5.614901","10.124638"," 5.929349"," 3.429487"," 8.811745"," 4.312290"," 6.432045","12.282514"," 9.648385"," 9.313659"," 8.616831"
0," 3.596013"," 4.026970"," 4.631690"," 9.956505"," 5.928204"," 2.906464"," 5.604473"," 2.845854"," 7.279315"," 4.792720"," 5.180583"," 6.117438","10.156343","11.307952"," 8.960846"," 4.012525"," 4.210688"," 6.152779"," 5.073901"," 4.063697"," 9.768219"," 6.697869"," 5.515136","11.326216"," 6.243090"," 7.593158"," 6.311228"," 4.418109"," 7.426222"," 6.376353"," 3.358940"," 6.978715"," 5.271051"," 9.522905"," 7.736903"," 5.681783"," 9.595645"," 7.031568"," 3.685665"," 7.447648"," 7.392454"," 6.516014","12.786190"," 8.972823"," 9.693329"," 8.522897"
0," 3.381917"," 3.631454"," 4.095166","11.105317"," 6.014962"," 3.274446"," 5.995360"," 2.574890"," 6.599048"," 4.318018"," 7.137559"," 7.161240","10.353620","11.603811"," 8.877837"," 3.541067"," 4.458065"," 6.142710"," 4.925473"," 3.760598"," 8.889901"," 6.127740"," 6.044257","10.187216"," 6.062170"," 7.238281"," 6.158954"," 4.494807"," 8.143990"," 6.482862"," 3.748751"," 6.698548"," 4.953845"," 7.661972"," 7.597389"," 5.090940","10.256448"," 6.798205"," 3.376795"," 8.015645"," 4.472155"," 6.270385","12.158241"," 8.515932"," 9.080683"," 8.412279"
0," 3.451935"," 3.683998"," 4.250235","11.290580"," 5.758877"," 3.091881"," 5.973495"," 2.829163"," 6.485770"," 3.843495"," 7.085793"," 7.776711","10.809191","11.379638"," 8.902467"," 3.486814"," 4.758998"," 6.005352"," 5.135720"," 3.687498"," 8.958234"," 4.466257"," 5.868023","10.432001"," 5.450839"," 8.020542"," 6.792216"," 4.447526"," 7.266647"," 6.842036"," 3.057398"," 7.720184"," 4.850945"," 8.275072"," 7.293951"," 5.251116"," 9.870211"," 6.317488"," 3.288532"," 8.022675"," 4.582375"," 6.390800","11.966979"," 9.065693"," 8.926589"," 8.385423"
0," 3.226952"," 3.818582"," 4.404857","10.875540"," 6.015092"," 3.429153"," 5.929979"," 3.020990"," 6.271077"," 3.828044"," 6.260583"," 6.749662","10.740626","11.367807"," 8.848806"," 3.556527"," 4.558631"," 5.974513"," 5.203112"," 3.844966"," 8.881740"," 4.948313"," 5.725669","10.401546"," 5.708383"," 7.524555"," 6.705481"," 4.300708"," 7.884306"," 6.764123"," 3.131988"," 7.228603"," 5.664848"," 8.361758"," 7.417760"," 5.325812","10.004755"," 6.594722"," 3.559247"," 8.259856"," 5.270354"," 6.206094","12.132109"," 7.499632"," 8.890462"," 8.716779"
0," 3.201047"," 3.529107"," 4.352492","11.555915"," 6.060917"," 3.272443"," 6.097182"," 3.181716"," 6.586517"," 4.198310"," 7.405587"," 6.879676","10.675088","10.750873"," 8.618367"," 3.516704"," 4.469660"," 5.949391"," 5.389552"," 3.790045"," 7.896482"," 6.044778"," 6.011101"," 9.799623"," 5.745273"," 6.686118"," 6.901328"," 4.346247"," 8.301771"," 6.589588"," 3.058519"," 6.898879"," 4.845446"," 7.053325"," 7.146364"," 4.972744","10.336984"," 6.468333"," 3.374724"," 8.617739"," 4.575826"," 6.294312","11.274770"," 7.016868"," 8.787387"," 8.418023"
0," 3.351950"," 3.471238"," 4.548690","10.054951"," 5.734488"," 4.255046"," 5.564448"," 2.948185"," 6.448414"," 4.076398"," 5.324174"," 6.808478","10.744650","11.511596"," 8.881019"," 3.775273"," 4.712881"," 6.012615"," 4.859408"," 3.716728"," 9.126529"," 5.597093"," 5.529897","10.918653"," 6.087678"," 8.060397"," 6.278105"," 4.231871"," 8.668032"," 6.647536"," 3.848835"," 7.780329"," 6.436632"," 8.022586"," 7.361919"," 5.061733"," 9.971648"," 6.612193"," 3.797683"," 6.788085"," 5.818291"," 6.092247","12.472641"," 7.929091"," 8.976072"," 8.450054"
0," 3.362223"," 3.573615"," 4.094777","11.121727"," 6.037736"," 4.084136"," 5.988639"," 2.823709"," 6.223251"," 4.050588"," 6.215423"," 7.720110","10.933743"," 9.824091"," 8.658622"," 3.580277"," 4.082189"," 6.116308"," 5.101829"," 3.921661"," 8.130572"," 5.473177"," 5.999365","10.055790"," 5.649746"," 8.038537"," 6.029828"," 4.643986"," 8.663243"," 6.619199"," 3.164681"," 7.732226"," 5.887289"," 6.376471"," 7.029053"," 5.370913","10.517672"," 6.088330"," 3.375874"," 7.914417"," 3.691215"," 6.104953","11.811021"," 7.411077"," 8.821910"," 8.285676"
0," 3.210809"," 3.247790"," 4.289445","10.458130"," 6.087579"," 3.116807"," 5.672652"," 2.662877"," 6.676382"," 3.894911"," 6.083326"," 6.748265","10.700724","11.379182"," 9.052762"," 3.242737"," 4.609232"," 6.265771"," 5.047893"," 3.652697"," 9.092327"," 4.494894"," 5.832499","10.721638"," 5.692364"," 7.680083"," 6.412719"," 4.514864"," 7.308394"," 6.761575"," 4.540266"," 7.726700"," 4.846335"," 8.170170"," 7.590292"," 5.242588"," 9.885304"," 6.701845"," 4.061828"," 6.876953"," 4.396749"," 6.363359","12.149446"," 7.363139"," 9.105845"," 8.428993"
0," 3.265537"," 3.598566"," 4.122254","10.749181"," 6.245200"," 3.444820"," 5.672734"," 2.910013"," 6.360443"," 3.924645"," 6.967815"," 6.861380","10.547550","11.233359"," 8.722911"," 3.471204"," 4.284759"," 5.870771"," 5.374870"," 3.941172"," 8.713721"," 5.115884"," 5.819328","10.619177"," 5.257098"," 7.692752"," 6.570087"," 4.498785"," 7.550596"," 6.799617"," 3.120624"," 7.108184"," 5.709869"," 7.738972"," 7.239450"," 5.213018","10.141313"," 6.483289"," 3.394595"," 8.255237"," 5.873227"," 6.252921","11.991471"," 8.413441"," 8.833862"," 8.476533"
1," 3.386807"," 3.320016"," 4.119990","11.110462"," 5.964095"," 3.513026"," 6.247197"," 2.710762"," 6.600614"," 4.539418"," 5.830439"," 6.870844","11.157459","11.330699"," 8.631700"," 3.137798"," 4.543471"," 6.183532"," 5.259928"," 3.621410"," 8.824334"," 6.071113"," 6.274548"," 9.954324"," 5.524145"," 6.972845"," 6.480900"," 4.463386"," 7.496809"," 6.914449"," 3.030820"," 6.513093"," 4.918521"," 7.705460"," 7.309586"," 5.138030"," 9.576437"," 6.774528"," 3.550557"," 8.639268"," 4.956645"," 6.339072","11.775972"," 7.081153"," 8.333165"," 8.323905"
1," 3.206032"," 3.673061"," 4.319781","11.424269"," 6.273500"," 3.348875"," 5.899907"," 2.712384"," 6.420546"," 4.283877"," 5.908893"," 8.370265","10.960042","11.515578"," 8.543285"," 3.512835"," 4.315922"," 6.029673"," 5.166943"," 3.652763"," 9.332389"," 6.876194"," 6.118376","10.300152"," 5.882916"," 9.230214"," 6.489133"," 4.595154"," 7.534769"," 6.521671"," 3.137508"," 9.044246"," 5.064774"," 8.242386"," 7.376956"," 5.633264"," 9.976058"," 6.362483"," 3.285686"," 8.562740"," 4.355711"," 6.328908","12.188734"," 8.726983"," 8.715037"," 8.375444"
1," 3.561640"," 4.198253"," 4.356211","10.331570"," 6.171719"," 3.287806"," 6.376914"," 2.901585"," 6.609156"," 4.666023"," 5.579443"," 7.603104","10.065171","11.467927"," 8.610068"," 3.952507"," 4.067915"," 5.750116"," 5.039332"," 3.699971"," 8.478020"," 6.332718"," 5.597331","10.263392"," 5.811881"," 7.489077"," 5.537212"," 4.302752"," 8.182046"," 6.299763"," 3.198427"," 7.754622"," 4.933627"," 7.549045"," 7.334098"," 5.404582","10.372139"," 6.411503"," 4.198650"," 7.919234"," 4.449099"," 6.131852","11.749166"," 8.005253"," 8.926105"," 8.505351"
1," 3.648521"," 3.741539"," 4.277177","10.928978"," 6.176069"," 3.057583"," 5.991262"," 2.747635"," 7.005287"," 4.466015"," 6.890573"," 7.713669","11.385303","10.880707"," 8.428218"," 3.371561"," 4.546313"," 6.233582"," 5.523677"," 3.911277"," 9.494266"," 6.629799"," 6.484286","10.480787"," 6.152828"," 8.459657"," 6.659305"," 4.418109"," 7.342912"," 6.659359"," 2.891119"," 8.170346"," 5.325626"," 8.326426"," 7.567340"," 5.480466"," 9.560125"," 6.950894"," 3.299550"," 8.128732"," 6.013910"," 6.330530","12.252757"," 8.237520"," 8.938013"," 8.145055"
1," 3.371545"," 3.841519"," 4.371420","11.054125"," 6.191436"," 3.361727"," 5.718197"," 3.024966"," 6.568385"," 4.075015"," 6.200820"," 7.596003","10.513703","11.494154"," 8.611506"," 3.466924"," 4.621116"," 6.077260"," 4.953549"," 3.754164"," 8.629841"," 5.807735"," 6.000384","10.024431"," 5.679084"," 7.607416"," 6.463035"," 4.714986"," 7.979031"," 6.599068"," 3.492702"," 7.667276"," 4.921400"," 7.959406"," 7.392277"," 5.247691"," 9.953642"," 5.991109"," 3.218975"," 7.187261"," 5.754262"," 6.325186","11.885825"," 8.395944"," 9.073663"," 8.323171"
1," 3.160094"," 3.775601"," 4.390482","10.712041"," 6.215490"," 3.229479"," 5.852659"," 2.902835"," 6.320231"," 4.777393"," 5.810253"," 7.186204","10.803625","10.523103"," 8.841597"," 3.631669"," 4.731949"," 6.235202"," 5.303535"," 3.865655"," 8.646311"," 6.173314"," 5.958676","10.331208"," 5.727739"," 7.426216"," 5.657091"," 4.577937"," 7.419943"," 6.843864"," 3.112337"," 7.448397"," 4.682592"," 7.879298"," 7.615577"," 5.253929"," 9.853489"," 6.199304"," 3.209407"," 7.854948"," 4.534675"," 6.419723","11.796379"," 6.674268"," 9.139647"," 8.267496"
1," 3.439259"," 3.936273"," 4.137155","11.422782"," 5.776253"," 2.967110"," 6.037611"," 2.866504"," 6.252787"," 4.824668"," 7.174671"," 7.025288","10.860034"," 9.507687"," 8.580822"," 3.922028"," 4.328579"," 5.202386"," 5.151342"," 4.412960"," 7.831922"," 7.408576"," 5.588368"," 9.337836"," 5.100388"," 7.669986"," 7.300280"," 4.450049"," 8.807701"," 6.243841"," 3.513148"," 7.498986"," 5.676721"," 7.382148"," 6.885426"," 5.109777","10.340534"," 6.222582"," 3.263072"," 9.781203"," 6.086522"," 6.496229","11.591021"," 8.354829"," 7.931144"," 8.519046"
1," 3.251392"," 3.565875"," 4.643506","10.706134"," 6.183697"," 2.948264"," 5.700357"," 2.641935"," 6.697389"," 4.006437"," 5.607170"," 7.731823","10.631300","11.353896"," 8.590776"," 3.384520"," 4.788780"," 5.691673"," 5.464299"," 3.656887"," 8.824254"," 6.257347"," 5.850070","10.454411"," 5.698281"," 7.624964"," 5.974008"," 4.343334"," 7.199761"," 6.721965"," 3.039731"," 7.977015"," 4.848088"," 7.673285"," 7.324229"," 5.379820"," 9.920212"," 6.601593"," 3.410619"," 8.248366"," 4.967025"," 6.353307","12.148418"," 8.157850"," 8.930181"," 8.233389"
1," 3.491550"," 3.529107"," 4.006104","11.329098"," 5.639904"," 3.661490"," 6.233027"," 2.825094"," 6.620966"," 4.419657"," 6.601506"," 7.192641","10.439551","11.550323"," 8.700137"," 3.441041"," 4.223345"," 6.065467"," 5.144709"," 4.034001"," 7.658607"," 6.523202"," 5.497283"," 9.534028"," 4.976345"," 7.303746"," 6.482186"," 4.321881"," 8.807154"," 6.529078"," 2.905715"," 7.385553"," 5.630480"," 6.967580"," 6.810803"," 4.845064","10.463123"," 5.904224"," 3.447461"," 8.608798"," 5.104789"," 6.170922","11.196578"," 6.576762"," 8.306184"," 8.507576"
1," 3.296918"," 3.608264"," 4.108866","10.327053"," 6.291250"," 3.187668"," 5.761739"," 2.710507"," 6.925081"," 4.058385"," 5.471175"," 7.514559","10.599576","11.189172"," 8.481771"," 3.370590"," 4.738409"," 5.803372"," 5.328001"," 3.616594"," 8.942555"," 5.718280"," 6.090310","10.663223"," 6.068714"," 7.795293"," 5.334849"," 4.534260"," 6.941495"," 6.594947"," 3.384006"," 7.994193"," 4.805283"," 8.157891"," 7.231419"," 5.331622"," 9.522238"," 7.059371"," 3.346245"," 7.195318"," 4.989567"," 6.448202","11.979570"," 7.821011"," 8.869052"," 8.030783"
1," 3.726817"," 3.487762"," 4.406822","11.617523"," 5.954150"," 2.933294"," 6.216393"," 2.673591"," 6.916852"," 5.053418"," 7.813653"," 6.990032","11.552881","10.520743"," 8.237267"," 3.271116"," 4.496390"," 6.186184"," 5.439682"," 4.217658"," 8.766369"," 7.059673"," 6.669604"," 9.460650"," 5.618535"," 7.271314"," 7.258878"," 4.716138"," 7.299851"," 6.625605"," 2.856407"," 6.616197"," 5.023690"," 8.136395"," 7.100020"," 5.322179","10.538200"," 6.401824"," 3.606871"," 9.198536"," 6.876122"," 6.258036","11.163058"," 7.476498"," 8.078053"," 7.914827"
1," 3.554936"," 3.767979"," 4.291602","11.082052"," 5.938796"," 2.790453"," 6.539780"," 2.759916"," 6.531991"," 4.503917"," 7.441501"," 6.900395","10.840216","11.031022"," 8.431425"," 3.273929"," 4.691474"," 6.019769"," 4.952665"," 3.803984"," 8.368124"," 6.509213"," 6.236020"," 9.795896"," 5.802439"," 7.165000"," 6.338184"," 4.521062"," 7.429574"," 6.474150"," 3.442206"," 7.338707"," 4.623295"," 8.575844"," 7.580573"," 5.205275","10.830210"," 6.400561"," 3.369913"," 9.968255"," 8.468275"," 6.212994","11.529709"," 7.439132"," 8.810700"," 8.477973"
1," 3.428274"," 3.399646"," 4.158952","11.383113"," 6.045317"," 3.213051"," 6.340762"," 2.719564"," 6.426965"," 4.812883"," 7.498795"," 7.068610","10.531370","10.468179"," 8.449122"," 3.615564"," 4.396046"," 6.010826"," 5.119846"," 3.895716"," 8.023262"," 6.685310"," 5.908865"," 9.754915"," 5.158283"," 6.716628"," 6.224769"," 4.298888"," 7.875056"," 6.757078"," 3.622019"," 6.123311"," 5.218087"," 8.055349"," 7.313122"," 5.086916","11.319280"," 5.646961"," 3.484748"," 9.491653"," 7.728183"," 6.343083","10.574854"," 5.648644"," 8.685554"," 8.417672"
1," 3.548059"," 3.474338"," 4.214802","11.032613"," 5.869712"," 3.257277"," 6.381897"," 2.706699"," 6.721714"," 4.749167"," 7.358259"," 6.398872","10.704622","10.728346"," 8.753903"," 3.686663"," 4.452601"," 5.938104"," 4.959603"," 3.945673"," 8.863517"," 6.671418"," 6.109486","10.312237"," 5.286832"," 7.211253"," 6.572972"," 4.328360"," 7.771195"," 6.739980"," 3.333363"," 6.837340"," 4.817978"," 8.177869"," 7.532181"," 5.234154","10.563843"," 6.767263"," 3.231615"," 9.227779"," 7.033269"," 6.267149","11.798899"," 8.775179"," 8.785907"," 8.472847"
1," 3.506574"," 3.561443"," 4.277177","11.297114"," 6.107812"," 2.986120"," 6.576277"," 2.599662"," 6.386014"," 4.297613"," 7.835810"," 6.751398","10.572664","11.317652"," 8.853382"," 3.576454"," 4.643105"," 6.065015"," 5.344656"," 4.059234"," 8.264111"," 6.316669"," 5.819756"," 9.777710"," 5.846117"," 7.220914"," 6.368060"," 4.226319"," 7.722472"," 6.615008"," 2.911828"," 7.346700"," 4.701705"," 7.712234"," 7.559483"," 5.083349"," 9.972992"," 5.981980"," 3.784169"," 9.410949"," 5.965966"," 6.081566","11.548975"," 7.061024"," 9.146161"," 8.530699"
